"","Id","IncidentId","ActionGrouped","ActionGranular","LastVerdict","IncidentGrade"
"27",386547059590,53518,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","TruePositive"
"28",1331439862537,151683,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"29",944892806359,50817,"ContainAccount","change user password.","NoThreatsFound","TruePositive"
"30",1331439862537,151683,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"31",1013612286835,14341,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"32",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"33",188978564746,4712,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"34",1675037247652,10033,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"35",773094114533,1241,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","NoThreatsFound","TruePositive"
"36",77309412582,89579,"ContainAccount","forcepasswordresetremediation","NoThreatsFound","TruePositive"
"37",1185410977206,166727,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"38",1030792154161,43036,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"39",309237646057,6236,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"40",1185410975586,45796,"ContainAccount","forcepasswordresetremediation","Malicious","TruePositive"
"41",292057778246,173911,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","TruePositive"
"42",1133871368338,230703,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"43",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"44",824633723791,14679,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"45",747324313796,255493,"ContainAccount","change user password.","Suspicious","BenignPositive"
"46",635655165029,36861,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","TruePositive"
"47",824633723267,32626,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"48",1030792154161,43036,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"49",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"50",747324309974,563401,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"51",704374640022,52606,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"52",163208760309,566,"ContainAccount","account password changed","Suspicious","BenignPositive"
"53",1675037246149,51444,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"54",34359743267,3300,"ContainAccount","change user password.","Malicious","BenignPositive"
"55",1477468750438,486,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"56",515396076083,27492,"ContainAccount","change user password.","Suspicious","TruePositive"
"57",472446405430,280318,"ContainAccount","account password changed","Suspicious","BenignPositive"
"58",68719481392,83564,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"59",850403526594,35909,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"60",1391569405781,107366,"ContainAccount","forcepasswordresetremediation","Malicious","TruePositive"
"61",1065151893626,152927,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"62",962072676669,136381,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"63",979252547178,56524,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"64",1400159342997,16491,"ContainAccount","disableuser","Malicious","TruePositive"
"65",609885360204,85703,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","FalsePositive"
"66",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"67",1460288883672,318146,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"68",1632087573520,81390,"ContainAccount","forcepasswordresetremediation","Suspicious","TruePositive"
"69",944892806788,44014,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"70",816043788918,58115,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"71",807453853880,1526,"ContainAccount","account password changed","Malicious","TruePositive"
"72",309237649767,76333,"ContainAccount","account disabled","Malicious","TruePositive"
"73",824633723791,14679,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"74",309237646057,6236,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"75",1400159342997,16491,"ContainAccount","disableuser","Malicious","TruePositive"
"76",1451698948038,6092,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"77",317827584695,35167,"ContainAccount","change user password.","Suspicious","BenignPositive"
"78",1073741826295,41733,"ContainAccount","account password changed","Malicious","TruePositive"
"79",1245540518916,54029,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"80",807453853880,1526,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"81",816043788918,58115,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"82",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"83",42949676019,42772,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"84",111669151655,249044,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","BenignPositive"
"85",446676602771,22147,"ContainAccount","change user password.","Malicious","TruePositive"
"86",661424964160,17022,"ContainAccount","disableuser","Malicious","BenignPositive"
"87",369367192654,498,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"88",1116691499783,73439,"ContainAccount","change user password.","Malicious","TruePositive"
"89",1297080126706,8995,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"90",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"91",824633723267,32626,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"92",695784702803,10057,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","BenignPositive"
"93",541165882612,179498,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"94",1013612285553,9500,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"95",1494648621043,12854,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"96",979252548380,4935,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"97",1709396987614,21829,"ContainAccount","forcepasswordresetremediation","Malicious","TruePositive"
"98",266287976201,21063,"ContainAccount","account password changed","Suspicious","TruePositive"
"99",816043787722,31509,"ContainAccount","account disabled","Suspicious","BenignPositive"
"100",1082331761789,35729,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"101",901943134338,564712,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"102",34359743267,3300,"ContainAccount","change user password.","Suspicious","BenignPositive"
"103",146028890390,37109,"ContainAccount","account password changed","Malicious","TruePositive"
"104",936302872720,155157,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","TruePositive"
"105",919123003521,531324,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"106",137438957628,370800,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"107",1632087574625,278413,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"108",824633723112,110664,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"109",944892806788,44014,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"110",1408749276410,86496,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"111",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"112",1400159342997,16491,"ContainAccount","disableuser","Malicious","TruePositive"
"113",1297080125204,19132,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"114",798863920928,15206,"ContainAccount","change user password.","NoThreatsFound","TruePositive"
"115",867583398126,47647,"ContainAccount","change user password.","NoThreatsFound","TruePositive"
"116",1477468750438,486,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"117",1408749275765,2161,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"118",1382979470143,136260,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"119",1709396984179,356673,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"120",1219770712694,50315,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"121",1640677509291,30292,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"122",901943134218,125262,"ContainAccount","forcepasswordresetremediation","Malicious","TruePositive"
"123",876173330595,32660,"IsolateDevice","quarantinefile","Suspicious","FalsePositive"
"124",867583395966,34068,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"125",171798694926,20277,"ContainAccount","account password changed","Suspicious","BenignPositive"
"126",146028890390,37109,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"127",369367189593,198945,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"128",257698041381,15696,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"129",34359743267,3300,"ContainAccount","change user password.","Suspicious","BenignPositive"
"130",163208760309,566,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"131",996432414480,39508,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"132",979252547178,56524,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"133",206158431906,18043,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"134",77309412582,89579,"ContainAccount","forcepasswordresetremediation","NoThreatsFound","TruePositive"
"135",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"136",627065227166,293691,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"137",979252548380,4935,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"138",962072676669,136381,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"139",695784702803,10057,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","NoThreatsFound","BenignPositive"
"140",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"141",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"142",1168231108188,91156,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"143",1700807050990,347533,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"144",936302873149,14685,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"145",747324311532,40278,"ContainAccount","forcepasswordresetremediation","Malicious","TruePositive"
"146",1649267446788,173890,"ContainAccount","forcepasswordresetremediation","Malicious","TruePositive"
"147",850403526594,35909,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"148",214748366959,80626,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"149",910533071694,34495,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"150",223338301643,1025,"ContainAccount","account password changed","NoThreatsFound","TruePositive"
"151",1039382089839,225820,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"152",214748368716,6710,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"153",1511828492031,47051,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"154",17179871389,182888,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"155",34359743461,22198,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","FalsePositive"
"156",807453853880,1526,"ContainAccount","account password changed","NoThreatsFound","TruePositive"
"157",1185410975586,45796,"ContainAccount","forcepasswordresetremediation","Malicious","TruePositive"
"158",1649267444312,1752,"ContainAccount","change user password.","Malicious","BenignPositive"
"159",1597727835695,519,"ContainAccount","account password changed","Suspicious","BenignPositive"
"160",403726928050,5620,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"161",403726928050,5620,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"162",790273982865,18010,"ContainAccount","reset user password.","Suspicious","TruePositive"
"163",17179874119,152768,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"164",1142461302561,40983,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"165",807453853880,1526,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"166",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"167",850403526594,35909,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"168",1494648623386,10394,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"169",498216209778,122126,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"170",661424964423,16673,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"171",1494648623659,119482,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"172",1382979474603,66199,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"173",498216209993,8444,"ContainAccount","account password changed","Suspicious","TruePositive"
"174",17179874119,152768,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"175",1477468750438,486,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"176",670014900437,50706,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"177",807453853880,1526,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"178",1168231107968,47251,"ContainAccount","change user password.","Suspicious","BenignPositive"
"179",369367192654,498,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"180",34359743267,3300,"ContainAccount","change user password.","Malicious","BenignPositive"
"181",979252548380,4935,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"182",1683627182193,138632,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"183",1133871369581,116154,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"184",335007451196,22431,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"185",1013612285553,9500,"ContainAccount","account password changed","Suspicious","BenignPositive"
"186",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"187",919123005804,33367,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","BenignPositive"
"188",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"189",644245098074,39097,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"190",249108105137,832,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"191",223338301643,1025,"ContainAccount","account password changed","Malicious","TruePositive"
"192",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"193",1108101567289,8842,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"194",335007451196,22431,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"195",1606317773160,772,"ContainAccount","change user password.","Suspicious","FalsePositive"
"196",223338301643,1025,"ContainAccount","account password changed","NoThreatsFound","TruePositive"
"197",807453856769,8065,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"198",1340029800490,88644,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"199",609885360204,85703,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","FalsePositive"
"200",816043788918,58115,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"201",335007451196,22431,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"202",1365799604414,380149,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","FalsePositive"
"203",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"204",695784704131,108324,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"205",1365799603123,16043,"ContainAccount","account password changed","Suspicious","BenignPositive"
"206",317827584695,35167,"ContainAccount","change user password.","Malicious","BenignPositive"
"207",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"208",523986012246,68783,"ContainAccount","account password changed","Suspicious","TruePositive"
"209",721554508729,516919,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"210",240518168978,71539,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"211",635655163558,101040,"ContainAccount","change user password.","Suspicious","BenignPositive"
"212",17179871389,182888,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"213",1632087572878,58693,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"214",1013612285553,9500,"ContainAccount","account password changed","Suspicious","BenignPositive"
"215",1108101567289,8842,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"216",309237646057,6236,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"217",34359743267,3300,"ContainAccount","change user password.","Malicious","BenignPositive"
"218",944892809930,44411,"ContainAccount","change user password.","Suspicious","BenignPositive"
"219",1108101567289,8842,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"220",695784706284,178136,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"221",867583398126,47647,"ContainAccount","change user password.","Suspicious","TruePositive"
"222",1494648621043,12854,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"223",1065151891920,272594,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"224",1408749276410,86496,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"225",403726926233,55152,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","TruePositive"
"226",34359743267,3300,"ContainAccount","change user password.","Suspicious","BenignPositive"
"227",206158431906,18043,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"228",120259086465,21557,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"229",944892806359,50817,"ContainAccount","change user password.","Malicious","TruePositive"
"230",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"231",704374638713,127058,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","TruePositive"
"232",850403526594,35909,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"233",1065151893681,180203,"ContainAccount","account password changed","Malicious","TruePositive"
"234",807453853880,1526,"ContainAccount","account password changed","NoThreatsFound","TruePositive"
"235",223338301643,1025,"ContainAccount","account password changed","Malicious","TruePositive"
"236",824633723791,14679,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"237",163208759406,327819,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"238",326417517953,52880,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"239",1408749277662,140806,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"240",343597385956,35361,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"241",1460288882674,7794,"ContainAccount","change user password.","Suspicious","TruePositive"
"242",1279900259402,293603,"ContainAccount","account disabled","Suspicious","BenignPositive"
"243",1675037246066,81446,"ContainAccount","set force change user password.","Malicious","TruePositive"
"244",652835032070,103670,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"245",309237646057,6236,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"246",1675037248487,179090,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"247",120259086465,21557,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"248",1331439862537,151683,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"249",609885360204,85703,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","FalsePositive"
"250",755914247755,297661,"ContainAccount","change user password.","Suspicious","BenignPositive"
"251",798863920928,15206,"ContainAccount","change user password.","NoThreatsFound","TruePositive"
"252",970662610728,92680,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"253",1391569405541,16619,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"254",223338301643,1025,"ContainAccount","account password changed","Malicious","TruePositive"
"255",824633723791,14679,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"256",1391569408842,17189,"ContainAccount","change user password.","Suspicious","TruePositive"
"257",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"258",1279900255801,81525,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","BenignPositive"
"259",1382979471254,51639,"ContainAccount","change user password.","Suspicious","FalsePositive"
"260",635655162891,318213,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"261",1382979471526,327784,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"262",506806143060,49372,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"263",1400159342997,16491,"ContainAccount","disableuser","Suspicious","TruePositive"
"264",68719481392,83564,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"265",1511828492031,47051,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"266",876173330595,32660,"IsolateDevice","quarantinefile","Suspicious","FalsePositive"
"267",936302872206,56426,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"268",317827582051,327823,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"269",1580547965757,57215,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"270",1142461302561,40983,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"271",523986014691,19234,"ContainAccount","disableuser","Suspicious","TruePositive"
"272",1563368097513,62627,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"273",1108101567289,8842,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"274",34359743267,3300,"ContainAccount","change user password.","Malicious","BenignPositive"
"275",369367189593,198945,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"276",1271310323553,556687,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"277",876173332400,126945,"ContainAccount","change user password.","NoThreatsFound","TruePositive"
"278",901943132724,45353,"ContainAccount","disableuser","NoThreatsFound","BenignPositive"
"279",979252548380,4935,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"280",1451698946388,96466,"ContainAccount","reset user password.","Suspicious","BenignPositive"
"281",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"282",1546188230410,33204,"ContainAccount","change user password.","Suspicious","BenignPositive"
"283",876173330595,32660,"IsolateDevice","quarantinefile","Suspicious","FalsePositive"
"284",1382979471254,51639,"ContainAccount","change user password.","Suspicious","FalsePositive"
"285",1597727836270,2524,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"286",944892806788,44014,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"287",1099511632370,20436,"ContainAccount","change user password.","Suspicious","BenignPositive"
"288",1417339210481,14,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"289",1142461302561,40983,"IsolateDevice","isolateresponse","Suspicious","FalsePositive"
"290",128849019284,94306,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"291",317827585068,151861,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"292",695784702803,10057,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","NoThreatsFound","BenignPositive"
"293",309237646057,6236,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"294",1108101565858,5029,"ContainAccount","change user password.","Suspicious","TruePositive"
"295",1477468750438,486,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"296",1477468750438,486,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"297",1331439866360,8210,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"298",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"299",223338301643,1025,"ContainAccount","account password changed","Malicious","TruePositive"
"300",1606317773160,772,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","FalsePositive"
"301",884763264301,3725,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"302",790273987046,80581,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"303",103079218699,176401,"ContainAccount","reset user password.","Suspicious","BenignPositive"
"304",1632087574625,278413,"IsolateDevice","quarantinefile","Suspicious","TruePositive"
"305",1305670058665,491481,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"306",1202590847409,31790,"ContainAccount","forcepasswordresetremediation","NoThreatsFound","BenignPositive"
"307",1013612285422,7570,"ContainAccount","msecidentitiessuspenduser","NoThreatsFound","TruePositive"
"308",1340029800247,117610,"ContainAccount","change user password.","Suspicious","TruePositive"
"309",515396076257,70606,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"310",1451698948038,6092,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"311",68719481302,1380,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","FalsePositive"
"312",549755815590,86513,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"313",1288490193694,5987,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"314",652835031931,5371,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"315",704374638096,177643,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","NoThreatsFound","TruePositive"
"316",163208760309,566,"ContainAccount","account password changed","Suspicious","BenignPositive"
"317",163208760309,566,"ContainAccount","account password changed","Suspicious","BenignPositive"
"318",661424964160,17022,"ContainAccount","disableuser","Malicious","BenignPositive"
"319",773094114533,1241,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"320",1322849927945,293582,"IsolateDevice","isolateresponse","Suspicious","BenignPositive"
"321",781684052836,11994,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Malicious","TruePositive"
"322",661424964160,17022,"ContainAccount","disableuser","NoThreatsFound","BenignPositive"
"323",704374638713,127058,"ContainAccount","update stsrefreshtokenvalidfrom timestamp.","Suspicious","TruePositive"
"324",214748366959,80626,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
"325",309237646057,6236,"IsolateDevice","isolateresponse","Suspicious","TruePositive"
